1000	-0.02
1001	-0.05
1002	-0.07
1003	-0.08
1004	-0.07
1005	-0.06
1006	-0.05
1007	-0.04
1008	-0.05
1009	0.01
1010	0.01
1011	0.02
1012	0.03
1013	0.04
1014	0.04
1015	0.05
1016	0.06
1017	0.05
1018	0.04
1019	0.04
1020	0.06
1021	0.08
1022	0.09
1023	0.11
1024	0.08
1025	0.07
1026	0.07
1027	0.06
1028	0.07
1029	0.07
1030	0.07
1031	0.05
1032	0.03
1033	0.03
1034	0.01
1035	0.02
1036	0
1037	-0.02
1038	-0.01
1039	-0.03
1040	-0.03
1041	-0.05
1042	-0.06
1043	-0.03
1044	-0.03
1045	-0.02
1046	-0.01
1047	0.01
1048	0.03
1049	0.02
1050	0.01
1051	-0.01
1052	0.01
1053	0.02
1054	0
1055	-0.01
1056	-0.01
1057	-0.01
1058	-0.02
1059	-0.02
1060	-0.02
1061	0
1062	0.01
1063	0
1064	0
1065	0.01
1066	0.02
1067	0.01
1068	0
1069	0.02
1070	0.02
1071	0.02
1072	0.01
1073	0
1074	0
1075	0
1076	0
1077	0
1078	0.04
1079	0.06
1080	0.05
1081	0.05
1082	0.07
1083	0.08
1084	0.11
1085	0.11
1086	0.12
1087	0.13
1088	0.12
1089	0.12
1090	0.1
1091	0.09
1092	0.09
1093	0.09
1094	0.07
1095	0.06
1096	0.06
1097	0.06
1098	0.07
1099	0.07
1100	0.07
1101	0.08
1102	0.08
1103	0.07
1104	0.04
1105	0.02
1106	0.02
1107	0.01
1108	0.01
1109	0
1110	0
1111	-0.01
1112	-0.03
1113	-0.04
1114	-0.04
1115	-0.02
1116	-0.01
1117	0
1118	0.02
1119	-0.01
1120	-0.02
1121	-0.02
1122	-0.01
1123	0
1124	0
1125	0
1126	-0.01
1127	-0.01
1128	-0.02
1129	-0.04
1130	-0.03
1131	-0.02
1132	-0.02
1133	-0.02
1134	-0.02
1135	-0.01
1136	0
1137	0.01
1138	0
1139	0
1140	0.01
1141	0
1142	0
1143	0
1144	-0.01
1145	-0.01
1146	-0.02
1147	-0.04
1148	-0.05
1149	-0.05
1150	-0.03
1151	-0.03
1152	-0.02
1153	0
1154	0
1155	0.01
1156	0.03
1157	0.04
1158	0.06
1159	0.08
1160	0.09
1161	0.09
1162	0.09
1163	0.11
1164	0.11
1165	0.11
1166	0.1
1167	0.09
1168	0.09
1169	0.08
1170	0.08
1171	0.07
1172	0.05
1173	0.04
1174	0.03
1175	0.01
1176	0
1177	0
1178	0.01
1179	0
1180	0.01
1181	0.01
1182	0.02
1183	0.03
1184	0.02
1185	0.02
1186	0.05
1187	0.07
1188	0.08
1189	0.07
1190	0.07
1191	0.06
1192	0.04
1193	0.04
1194	0.05
1195	0.05
1196	0.03
1197	0.01
1198	0.01
1199	0.01
1200	0.01
1201	-0.01
1202	-0.02
1203	-0.01
1204	-0.02
1205	-0.03
1206	-0.02
1207	-0.01
1208	-0.01
1209	-0.02
1210	-0.04
1211	-0.04
1212	-0.03
1213	-0.02
1214	-0.02
1215	-0.01
1216	0.01
1217	0.01
